station_name,nearby_crime_count,trip_count
Powell Street BART,230432,25204
Civic Center BART (7th at Market),229151,19145
Cyril Magnin St at Ellis St,206869,69
Powell at Post (Union Square),138281,16984
Market at 4th,137350,27502
5th at Howard,131802,18962
Golden Gate at Polk,128099,10651
San Francisco City Hall,85792,6730
Post at Kearney,82620,13811
Townsend at 7th,78125,34894
Market at 10th,75843,30209
Yerba Buena Center of the Arts (3rd @ Howard),68905,14711
5th St at Folsom St,61646,173
South Van Ness at Market,53501,18278
Market at Sansome,51442,35142
Washington at Kearney,47286,8608
Grant Avenue at Columbus Avenue,44762,23041
Commercial at Montgomery,44674,16857
Mechanics Plaza (Market at Battery),41642,17837
Howard at 2nd,40431,20746
Clay at Battery,37795,14351
Beale at Market,32253,23082
2nd at Folsom,31487,23404
Broadway St at Battery St,30021,16005
Temporary Transbay Terminal (Howard at Beale),28144,39200
Davis at Jackson,27722,15197
2nd at South Park,23418,26218
Steuart at Market,21661,38531
San Francisco Caltrain 2 (330 Townsend),21211,56100
San Francisco Caltrain (Townsend at 4th),20945,72683
Harry Bridges Plaza (Ferry Building),19405,49062
2nd at Townsend,18258,39936
Embarcadero at Folsom,14499,21874
Embarcadero at Vallejo,14215,15302
Spear at Folsom,14154,17062
Embarcadero at Bryant,11187,22525
Embarcadero at Sansome,10570,41137
San Mateo County Center,0,373
Middlefield Light Rail Station,0,1804
Santa Clara County Civic Center,0,1283
Mountain View Caltrain Station,0,9059
Stanford in Redwood City,0,931
University and Emerson,0,2002
Paseo de San Antonio,0,3066
Redwood City Caltrain Station,0,2249
San Pedro Square,0,4132
Redwood City Medical Center,0,463
Santa Clara at Almaden,0,5308
California Ave Caltrain Station,0,1418
SJSU 4th at San Carlos,0,1533
SJSU - San Salvador at 9th,0,1954
Ryland Park,0,2626
Palo Alto Caltrain Station,0,3281
San Salvador at 1st,0,2232
San Antonio Caltrain Station,0,2601
San Antonio Shopping Center,0,2377
Mountain View City Hall,0,4275
San Jose City Hall,0,2911
Cowper at University,0,2162
St James Park,0,2374
Arena Green / SAP Center,0,2043
San Jose Diridon Caltrain Station,0,13593
Franklin at Maple,0,241
San Jose Civic Center,0,2137
Redwood City Public Library,0,272
Adobe on Almaden,0,2046
Castro Street and El Camino Real,0,3049
Mezes Park,0,467
Charleston Park/ North Bayshore Area,0,1514
5th S. at E. San Salvador St,0,20
Japantown,0,2855
Park at Olive,0,1026
MLK Library,0,2664
S. Market st at Park Ave,0,84
