district,year,total_crimes,resolved_crimes
SOUTHERN,2015,30095,8451
SOUTHERN,2013,29240,12084
SOUTHERN,2014,28861,10132
SOUTHERN,2016,28540,8810
SOUTHERN,2017,28238,7142
SOUTHERN,2010,26049,11062
SOUTHERN,2012,25890,9141
SOUTHERN,2003,25692,12067
SOUTHERN,2011,24708,10407
SOUTHERN,2004,24551,10475
SOUTHERN,2009,24409,10853
SOUTHERN,2007,24175,9503
SOUTHERN,2008,24153,10481
SOUTHERN,2006,23325,8345
SOUTHERN,2005,23086,8831
MISSION,2017,21673,6528
MISSION,2003,21163,10722
MISSION,2013,21156,9723
MISSION,2004,21029,10036
NORTHERN,2017,20920,4061
NORTHERN,2016,20143,4617
NORTHERN,2015,20089,4701
MISSION,2008,19721,9757
MISSION,2016,19561,6962
MISSION,2005,19560,8487
MISSION,2014,19438,8525
MISSION,2009,19117,10164
NORTHERN,2003,18975,6628
MISSION,2006,18916,9115
CENTRAL,2017,18873,3412
MISSION,2012,18786,7462
NORTHERN,2004,18750,6658
NORTHERN,2006,18679,6227
NORTHERN,2005,18677,5900
CENTRAL,2015,18565,4182
MISSION,2015,18537,7166
MISSION,2007,18434,9228
NORTHERN,2014,18411,5228
MISSION,2011,18237,8272
MISSION,2010,18119,9054
NORTHERN,2013,18112,5990
CENTRAL,2016,17695,3909
CENTRAL,2014,17341,4978
TENDERLOIN,2009,16954,12658
TENDERLOIN,2008,16681,12436
NORTHERN,2007,16430,5751
NORTHERN,2012,16341,4667
NORTHERN,2008,16080,5434
BAYVIEW,2004,15943,6727
NORTHERN,2009,15838,5729
BAYVIEW,2003,15739,6455
BAYVIEW,2005,15108,5779
BAYVIEW,2013,14788,6922
CENTRAL,2013,14783,4294
TENDERLOIN,2007,14735,10049
BAYVIEW,2015,14710,5244
NORTHERN,2011,14655,5209
BAYVIEW,2012,14498,6035
BAYVIEW,2016,14344,4246
NORTHERN,2010,14263,5453
BAYVIEW,2006,14242,5559
BAYVIEW,2008,14104,5446
BAYVIEW,2010,14076,6240
CENTRAL,2012,14033,3785
INGLESIDE,2003,14008,4736
INGLESIDE,2004,13995,4226
BAYVIEW,2007,13925,5687
BAYVIEW,2011,13914,6605
BAYVIEW,2017,13891,3650
BAYVIEW,2014,13884,6016
CENTRAL,2004,13799,4097
TENDERLOIN,2010,13773,9200
CENTRAL,2003,13622,4390
BAYVIEW,2009,13617,5833
CENTRAL,2008,13566,4237
INGLESIDE,2015,13414,3717
CENTRAL,2007,13335,4016
CENTRAL,2005,13292,3736
INGLESIDE,2005,13273,3948
INGLESIDE,2013,13196,5339
CENTRAL,2006,13093,3719
CENTRAL,2009,13061,4205
TENDERLOIN,2013,12888,8100
INGLESIDE,2014,12833,4479
INGLESIDE,2007,12797,5029
CENTRAL,2011,12757,3768
TENDERLOIN,2003,12737,8740
INGLESIDE,2006,12654,4356
INGLESIDE,2012,12519,4170
TENDERLOIN,2011,12424,8203
INGLESIDE,2010,12351,4965
INGLESIDE,2008,12173,4472
CENTRAL,2010,12170,3693
INGLESIDE,2009,12135,4629
TENDERLOIN,2004,12081,8086
TENDERLOIN,2005,12061,7776
TARAVAL,2004,12059,3402
TARAVAL,2017,12039,2537
TARAVAL,2015,11965,2883
INGLESIDE,2011,11932,4680
TENDERLOIN,2006,11791,7443
TENDERLOIN,2012,11790,7266
TARAVAL,2005,11756,3337
INGLESIDE,2016,11626,3089
TENDERLOIN,2014,11486,6203
INGLESIDE,2017,11417,2992
TARAVAL,2016,11358,2897
TARAVAL,2003,11329,3402
TARAVAL,2006,10827,3294
TARAVAL,2008,10770,3488
TENDERLOIN,2015,10731,5052
TARAVAL,2013,10709,3814
TARAVAL,2014,10527,3156
TARAVAL,2012,10515,3171
TARAVAL,2009,10350,3545
TARAVAL,2007,9988,3037
TENDERLOIN,2016,9957,4453
TARAVAL,2011,9876,3259
PARK,2013,9456,3672
RICHMOND,2017,9408,1814
PARK,2015,9341,2359
PARK,2014,9332,3501
TARAVAL,2010,9310,3246
RICHMOND,2015,9079,1927
RICHMOND,2016,8942,1691
PARK,2012,8769,3041
PARK,2016,8718,2125
TENDERLOIN,2017,8706,3841
PARK,2017,8502,1747
RICHMOND,2013,8478,2443
PARK,2003,8219,2872
PARK,2004,8183,2704
PARK,2005,8109,2731
RICHMOND,2014,8015,2246
PARK,2006,7885,2934
RICHMOND,2004,7758,1709
RICHMOND,2012,7706,2129
RICHMOND,2003,7692,1921
PARK,2009,7554,3180
PARK,2011,7532,2925
RICHMOND,2005,7264,1661
PARK,2007,7234,3205
PARK,2008,7188,2813
PARK,2010,6912,2861
RICHMOND,2008,6875,1994
RICHMOND,2009,6825,2118
RICHMOND,2011,6662,2215
RICHMOND,2007,6586,1689
RICHMOND,2010,6500,2253
RICHMOND,2006,6441,1691
SOUTHERN,2018,657,205
NORTHERN,2018,506,124
MISSION,2018,493,162
CENTRAL,2018,435,95
BAYVIEW,2018,314,89
INGLESIDE,2018,270,78
TARAVAL,2018,242,58
TENDERLOIN,2018,222,113
RICHMOND,2018,218,43
PARK,2018,176,38
,2016,1,0
