zipcode,year,avg_response_seconds
94115,2003,256.85745662200748
94115,2002,262.06266282736874
94115,2004,268.04143528406684
94104,2004,271.44592592592591
94115,2005,276.03102129983614
94115,2001,281.16802964477375
94109,2003,285.13692860102208
94104,2001,287.22637362637363
94133,2003,290.759308303474
94108,2001,292.855192719486
94115,2000,293.58423961490462
94133,2004,293.83160893687221
94129,2006,294.16759776536315
94108,2002,294.56143884892089
94108,2004,297.00821403426431
94110,2003,297.63232815133932
94108,2003,297.80253910677857
94102,2003,298.53884184247886
94104,2005,300.83240223463685
94109,2005,301.62872588032121
94104,2009,302.57601351351349
94109,2004,303.07849092258897
94109,2001,304.45787998681186
94104,2007,306.18481595092027
94104,2000,306.74673829623941
94110,2004,307.5338069721235
94102,2004,308.09295302013425
94115,2006,308.22203254808238
94110,2001,308.391817201402
94103,2002,309.70059880239518
94109,2009,309.80359175414185
94117,2005,310.06055443704514
94104,2006,310.68421052631578
94109,2011,311.28242899533711
94117,2004,312.07602167862905
94104,2010,312.19310839913857
94108,2005,312.46208070004866
94111,2003,312.6033538672142
94104,2003,312.70545454545453
94109,2006,312.73301421733248
94102,2002,313.73246674727943
94108,2006,314.75
94114,2008,315.03171355498728
94103,2003,316.92501201730494
94104,2008,317.22874341610242
94109,2007,317.62524045067335
94103,2004,318.91933397995473
94109,2002,319.18565474122948
94115,2010,319.56685150955019
94102,2005,319.99569643683486
94108,2008,320.23972445464977
94109,2013,320.43936285097203
94107,2004,320.89193146873635
94117,2006,321.00078889239512
94102,2009,321.92214776935276
94109,2000,322.29337695815991
94103,2005,322.81236448546173
94110,2006,322.82449625616368
94111,2000,323.21045576407511
94115,2009,323.66441296415542
94115,2013,324.06037735849054
94109,2008,324.12696493349443
94117,2003,324.23250936329589
94133,2002,324.62665596146121
94108,2011,325.15581240275623
94110,2005,325.860305115166
94111,2002,325.86098654708525
94117,2002,325.91238020731458
94103,2006,325.99969164353985
94115,2007,326.42371713924933
94114,2009,326.46067808458582
94117,2013,327.34585311365544
94107,2001,327.58860453887019
94118,2000,327.9037520391517
94118,2004,328.20394522334527
94114,2010,328.37909624008284
94108,2007,328.5236276849642
94114,2004,328.98945724326433
94102,2006,329.0639360639359
94105,2005,329.57086517130887
94123,2002,329.70433639947453
94105,2004,329.91728665207876
94103,2008,330.24679784666773
94103,2009,330.83416902178857
94108,2009,330.9544779811975
94103,2001,332.26877078350128
94133,2005,332.496559106897
94115,2008,333.05561451921034
94111,2004,333.22507668711648
94133,2006,334.2331614314736
94102,2010,335.03347084591508
94115,2012,335.18646649260211
94105,2002,335.68176605504584
94117,2018,336.45046439628481
94117,2010,336.69255613657339
94102,2008,337.21666314231362
94107,2005,337.86026406790319
94118,2011,338.0323659018386
94110,2007,338.23340832395957
94102,2001,339.11874145006834
94109,2012,339.16504155124653
94118,2013,339.19825949367089
94110,2002,339.33926000575855
94111,2001,339.38757807078417
94107,2002,339.39547095503769
94108,2013,339.54742833052268
94117,2000,339.968689788054
94110,2009,340.0378358392901
94109,2015,340.12576656775474
94117,2001,340.26540540540537
94103,2010,340.44468372603694
94110,2010,340.48689943976
94109,2016,340.88050769750475
94104,2011,341.31161048689137
94109,2017,341.402370760619
94118,2010,341.44145840465592
94118,2006,343.00652696667805
94114,2017,343.20758847136091
94115,2014,343.24222518731409
94114,2013,343.95068844060211
94117,2009,344.44399821508267
94102,2007,344.60160297568979
94133,2001,344.69813066814726
94111,2006,344.8799164636269
94105,2009,344.98881866796319
94109,2014,345.40099240192279
